,fighter,current_lose_streak,current_win_streak,avg_head_landed,avg_KD,avg_sig_str_landed,avg_td_landed,avg_total_str_landed,longest_winning_streak,losses,total_title_bouts,win_by_ko/tko,wins,stance,height_cms,reach_cms,weight_lbs,age,total_fights
3109,Russell Doane,4,0,15.0,0.166666667,19.66666667,1.6666666669999999,46.0,2,4,0,0,2,Orthodox,170.18,177.8,135.0,30.0,6
3111,Mark Hunt,2,0,23.07142857,0.571428571,27.21428571,0.5,44.5,4,7,1,6,7,Orthodox,177.8,182.88,265.0,43.0,14
3115,Max Holloway,0,10,45.5,0.4375,66.1875,0.25,72.3125,10,3,1,6,13,Orthodox,180.34,175.26,155.0,25.0,16
3116,Yancy Medeiros,0,1,16.33333333,0.666666667,27.33333333,0.0,30.33333333,2,5,0,0,4,Orthodox,177.8,190.5,155.0,29.0,9
3118,Omari Akhmedov,0,1,18.57142857,0.28571428600000004,27.57142857,1.857142857,41.57142857,2,3,0,2,4,Orthodox,182.88,185.42,185.0,29.0,7
3119,Nordine Taleb,1,0,22.0,0.166666667,40.16666667,2.166666667,66.66666667,3,2,0,1,4,Orthodox,185.42,187.96,170.0,35.0,6
3124,Cortney Casey,1,0,28.8,0.0,39.4,0.4,58.4,2,3,0,1,2,Orthodox,170.18,170.18,115.0,30.0,5
3126,Stevie Ray,0,1,16.8,0.2,29.8,0.4,44.6,3,1,0,2,4,Southpaw,177.8,177.8,155.0,27.0,5
3130,Robert Whittaker,0,6,39.2,0.7,51.7,0.4,60.3,6,2,1,4,8,Orthodox,182.88,185.42,185.0,26.0,10
3132,Rashid Magomedov,1,0,33.8,1.0,64.2,0.8,82.6,4,1,0,1,4,Orthodox,175.26,177.8,155.0,32.0,5
3133,Tim Elliott,4,0,35.71428571,0.14285714300000002,51.71428571,3.285714286,128.7142857,2,5,1,0,2,Southpaw,170.18,167.64,135.0,30.0,7
3135,Gegard Mousasi,0,4,27.09090909,0.181818182,37.81818182,0.818181818,59.09090909,4,3,0,4,8,Orthodox,187.96,193.04,185.0,31.0,11
3136,Charles Oliveira,2,0,12.52941176,0.117647059,23.17647059,1.294117647,36.76470588,4,8,0,0,9,Orthodox,177.8,187.96,155.0,27.0,17
3138,Francimar Barroso,2,0,13.66666667,0.0,32.0,1.333333333,57.33333333,2,3,0,0,3,Orthodox,185.42,190.5,205.0,37.0,6
3140,Ray Borg,0,1,11.66666667,0.0,16.66666667,3.166666667,39.16666667,3,2,0,0,4,Orthodox,162.56,160.02,135.0,23.0,6
3141,Kevin Lee,0,3,27.44444444,0.0,39.0,2.555555556,59.44444444,4,2,0,1,7,Orthodox,175.26,195.58,170.0,24.0,9
3142,Joe Soto,0,2,29.0,0.0,36.6,0.6,45.4,2,3,1,0,2,Orthodox,167.64,165.1,135.0,29.0,5
3145,Daniel Kelly,0,3,33.5,0.0,37.83333333,1.6666666669999999,58.66666667,3,1,0,1,5,Southpaw,182.88,177.8,185.0,39.0,6
3146,Darren Elkins,0,3,27.13333333,0.066666667,35.4,2.266666667,89.33333333,5,4,0,2,11,Orthodox,177.8,180.34,145.0,32.0,15
3147,Santiago Ponzinibbio,0,3,28.85714286,0.571428571,37.42857143,0.14285714300000002,40.0,3,2,0,3,5,Orthodox,182.88,185.42,170.0,30.0,7
3148,Randa Markos,1,0,32.2,0.0,39.4,1.2,83.4,1,3,0,0,2,Orthodox,162.56,160.02,115.0,31.0,5
3149,Thiago Santos,2,0,7.0,0.5555555560000001,16.55555556,0.111111111,21.33333333,4,4,0,4,5,Orthodox,187.96,193.04,205.0,33.0,9
3155,James Vick,1,0,29.16666667,0.166666667,38.33333333,0.0,49.16666667,5,1,0,0,5,Orthodox,190.5,193.04,155.0,29.0,6
3157,Jorge Masvidal,0,2,36.33333333,0.25,56.5,1.25,85.83333333,3,4,0,2,8,Orthodox,180.34,187.96,170.0,32.0,12
3160,Sam Alvey,0,3,19.66666667,0.444444444,28.66666667,0.0,32.88888889,3,3,0,4,6,Southpaw,187.96,190.5,205.0,30.0,9
3161,Li Jingliang,0,1,29.4,0.4,40.4,1.2,50.6,1,2,0,2,3,Orthodox,182.88,180.34,170.0,28.0,5
3162,Ben Saunders,1,0,15.18181818,0.181818182,27.63636364,0.181818182,56.27272727,3,4,0,2,7,Orthodox,187.96,195.58,170.0,33.0,11
3163,Sergio Pettis,0,2,43.57142857,0.14285714300000002,57.0,1.285714286,73.42857143,2,2,0,0,5,Orthodox,167.64,175.26,135.0,23.0,7
3168,Cody Garbrandt,0,5,27.0,1.2,31.4,0.8,32.8,5,0,0,4,5,Orthodox,172.72,165.1,135.0,25.0,5
3169,Ray Borg,1,0,11.2,0.0,15.8,3.0,40.4,3,2,0,0,3,Orthodox,162.56,160.02,135.0,23.0,5
3170,Neil Magny,1,0,36.6,0.066666667,48.93333333,2.266666667,85.4,7,4,0,4,11,Orthodox,190.5,203.2,170.0,29.0,15
3171,Alex Garcia,1,0,21.6,0.4,24.4,3.8,39.6,2,2,0,1,3,Orthodox,175.26,182.88,170.0,29.0,5
3175,Colby Covington,0,2,13.83333333,0.166666667,17.83333333,3.5,83.16666667,3,1,0,2,5,Orthodox,180.34,182.88,170.0,28.0,6
3178,Kelvin Gastelum,0,1,33.11111111,0.333333333,50.66666667,1.0,74.33333333,5,2,1,1,7,Southpaw,175.26,180.34,185.0,25.0,9
3182,Rustam Khabilov,0,3,17.875,0.125,23.875,3.5,39.125,3,2,0,1,6,Orthodox,172.72,185.42,155.0,30.0,8
3183,Dustin Ortiz,2,0,28.25,0.0,45.25,2.125,97.875,2,4,0,2,4,Orthodox,165.1,165.1,125.0,27.0,8
3185,Jorge Masvidal,0,1,37.27272727,0.272727273,57.63636364,1.363636364,89.09090909,3,4,0,1,7,Orthodox,180.34,187.96,170.0,32.0,11
3190,Omari Akhmedov,2,0,18.16666667,0.333333333,28.33333333,1.6666666669999999,39.0,2,3,0,2,3,Orthodox,182.88,185.42,185.0,29.0,6
3194,Krzysztof Jotko,0,4,18.16666667,0.166666667,34.5,1.0,77.0,4,1,0,1,5,Southpaw,185.42,195.58,185.0,27.0,6
3198,Conor McGregor,0,1,34.0,1.0,49.0,0.5555555560000001,60.66666667,7,1,2,6,8,Southpaw,175.26,187.96,155.0,28.0,9
3199,Yoel Romero,0,7,22.14285714,0.7142857140000001,40.0,1.571428571,52.14285714,7,0,0,5,7,Southpaw,182.88,185.42,185.0,39.0,7
3200,Raquel Pennington,0,3,32.0,0.0,50.85714286,1.285714286,67.28571429,3,2,0,0,5,Orthodox,170.18,170.18,135.0,28.0,7
3201,Tim Boetsch,0,1,16.31578947,0.31578947399999996,27.68421053,1.105263158,46.78947368,4,9,0,5,10,Orthodox,182.88,187.96,185.0,35.0,19
3202,Tony Ferguson,0,8,25.16666667,0.25,38.75,0.5,48.25,8,1,1,2,11,Orthodox,180.34,193.04,155.0,32.0,12
3206,Gegard Mousasi,0,2,27.0,0.222222222,37.66666667,0.7777777779999999,62.77777778,2,3,0,2,6,Orthodox,187.96,193.04,185.0,31.0,9
3207,Jimi Manuwa,1,0,11.66666667,0.166666667,30.5,0.5,38.0,3,2,0,1,4,Orthodox,185.42,200.66,205.0,36.0,6
3208,Iuri Alcantara,1,0,19.75,0.166666667,28.91666667,1.166666667,49.25,3,5,0,2,7,Southpaw,175.26,180.34,135.0,36.0,12
3211,Alex Oliveira,0,1,15.66666667,0.166666667,26.16666667,1.6666666669999999,49.16666667,3,2,0,1,4,Orthodox,180.34,193.04,170.0,28.0,6
3212,Andre Fili,1,0,17.0,0.166666667,28.16666667,1.8333333330000001,35.66666667,1,3,0,2,3,Orthodox,180.34,187.96,145.0,26.0,6
3217,Michel Prazeres,0,2,21.0,0.166666667,30.83333333,4.0,47.83333333,2,2,0,0,4,Orthodox,167.64,170.18,170.0,35.0,6
3218,Michael Johnson,2,0,25.28571429,0.571428571,46.42857143,0.5,49.57142857,4,6,1,3,8,Southpaw,177.8,185.42,145.0,30.0,14
3219,Derek Brunson,0,4,17.0,0.28571428600000004,21.85714286,1.571428571,46.0,4,1,0,3,6,Southpaw,185.42,195.58,185.0,32.0,7
3225,Bethe Correia,2,0,36.4,0.0,59.8,0.2,81.4,3,2,1,1,3,Orthodox,165.1,162.56,135.0,33.0,5
